Bin,House No,Street Name,Borough,Job Filing Number,Block,LOT,failed_reason
1000060,250,VESEY STREET,Manhattan,M00826782-P1|M00996783-I1|M00948472-P1|M08016553-P1|M00473573-I1|M01387347-I1|M01331540-I1|M08026279-I1|M01371895-I1|M01204909-P2|M01034278-I1|M01054299-I1|M01270923-I1|M00545312-P1|M00590334-I1|M01270585-I1|M01371826-I1|M01321810-I1|M01387849-I1|M00516000-P4|M01179427-I1|M01222296-P1|M00819211-I1|M00777637-P2|M00671692-P1|M01201479-P5|M00488491-I1|M00946047-I1|M00938036-I1|M00965766-I1|M01330903-I1|M01222296-I1|M00488491-P2|M01204909-P1|M01204909-I1|M00710776-I1|M00996832-P1|M08026279-P1|M00545312-I1|M00776944-I1|M00730216-P1|M01400205-I1|M00826782-I1|M00835660-I1|M00671692-I1|M01402870-I1|M00677675-I1|M00948472-I1|M00946063-I1|M08016553-I1|M01400288-I1|M01179427-P5|M01201479-I1|M01370136-I1|M01370136-P1|M00516000-I1|M00777637-I1|M01129322-I1|M00777637-P3|M00996783-P5|M01225756-I1|M01222169-P1|M00996832-I1|M01328032-I1|M00730216-I1|M01232716-I1|M01222169-I1|M00829981-I1|M00531141-P2|M01369869-I1|M00531141-P1|M01354341-I1|M00915436-I1|M00590334-P1|M01129379-I1|M00524552-I1|M01366438-I1|M01371864-I1|M00946063-P1|M00907553-I1|M00531141-I1|M00516000-P1|M00615480-I1|M01164987-I1|M00946047-P1|M01029526-I1|M01296699-I1|M00524552-P1|M00946051-I1|M01062421-I1|M01383136-I1|M00688895-I1|M01164987-P1|M00674173-I1|M00488491-P1|M01029526-P1|M00531186-I1|M00551297-I1,16,150,docs_browser_error
1000060,250,VESEY STREET,Manhattan,M00826782-P1|M00996783-I1|M00948472-P1|M08016553-P1|M00473573-I1|M01387347-I1|M01331540-I1|M08026279-I1|M01371895-I1|M01204909-P2|M01034278-I1|M01054299-I1|M01270923-I1|M00545312-P1|M00590334-I1|M01270585-I1|M01371826-I1|M01321810-I1|M01387849-I1|M00516000-P4|M01179427-I1|M01222296-P1|M00819211-I1|M00777637-P2|M00671692-P1|M01201479-P5|M00488491-I1|M00946047-I1|M00938036-I1|M00965766-I1|M01330903-I1|M01222296-I1|M00488491-P2|M01204909-P1|M01204909-I1|M00710776-I1|M00996832-P1|M08026279-P1|M00545312-I1|M00776944-I1|M00730216-P1|M01400205-I1|M00826782-I1|M00835660-I1|M00671692-I1|M01402870-I1|M00677675-I1|M00948472-I1|M00946063-I1|M08016553-I1|M01400288-I1|M01179427-P5|M01201479-I1|M01370136-I1|M01370136-P1|M00516000-I1|M00777637-I1|M01129322-I1|M00777637-P3|M00996783-P5|M01225756-I1|M01222169-P1|M00996832-I1|M01328032-I1|M00730216-I1|M01232716-I1|M01222169-I1|M00829981-I1|M00531141-P2|M01369869-I1|M00531141-P1|M01354341-I1|M00915436-I1|M00590334-P1|M01129379-I1|M00524552-I1|M01366438-I1|M01371864-I1|M00946063-P1|M00907553-I1|M00531141-I1|M00516000-P1|M00615480-I1|M01164987-I1|M00946047-P1|M01029526-I1|M01296699-I1|M00524552-P1|M00946051-I1|M01062421-I1|M01383136-I1|M00688895-I1|M01164987-P1|M00674173-I1|M00488491-P1|M01029526-P1|M00531186-I1|M00551297-I1,16,150,docs_browser_error
