Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
,,,,,,,,4624658,,,,,,,,,Event loop is closed! Is Playwright already stopped?,,,,,,
,,,,,,,,3331440,,,,,,,,,Event loop is closed! Is Playwright already stopped?,,,,,,
,,,,,,,,1037605,,,,,,,,,Event loop is closed! Is Playwright already stopped?,,,,,,
,,,,,,,,2012957,,,,,,,,,Event loop is closed! Is Playwright already stopped?,,,,,,
,,,,,,,,2063767,,,,,,,,,Event loop is closed! Is Playwright already stopped?,,,,,,
