Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
Q00848877-I1,CO Issued,03/24/2023 12:00:00 AM,35-16 GAR,CORPORAL STONE STREET,Queens,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985980f31,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/QUEENS/TEST//20260728052309163470092053/ZD1 DOB Zoning Diagram_5dd5a0439e.pdf,OK,,HAS ZONING DOCUMENTS,05/26/2023,Supporting Documents,ZD1: DOB Zoning Diagram,Submitted
Q00848877-I1,CO Issued,03/24/2023 12:00:00 AM,35-16 GAR,CORPORAL STONE STREET,Queens,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/09003039859887e9,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/QUEENS/TEST//20260728052313523954629079/ZD1 DOB Zoning Diagram_23fb6c35b0.pdf,OK,,HAS ZONING DOCUMENTS,05/30/2023,Supporting Documents,ZD1: DOB Zoning Diagram,Superseded
Q00848877-I1,CO Issued,03/24/2023 12:00:00 AM,35-16 GAR,CORPORAL STONE STREET,Queens,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398590a5e9,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/QUEENS/TEST//202607280523190551954470020/ZD1 DOB Zoning Diagram_bccaa3886c.pdf,OK,,HAS ZONING DOCUMENTS,05/26/2023,Supporting Documents,ZD1: DOB Zoning Diagram,Submitted
Q00848877-I1,CO Issued,03/24/2023 12:00:00 AM,35-16 GAR,CORPORAL STONE STREET,Queens,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985755307,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/QUEENS/TEST//202607280523242271989420346/ZD1 DOB Zoning Diagram_546ad77fe2.pdf,OK,,HAS ZONING DOCUMENTS,05/12/2023,Supporting Documents,ZD1: DOB Zoning Diagram,Submitted
B00738255-P1,Approved,08/01/2022 12:00:00 AM,5995,SHORE PARKWAY,Brooklyn,8329,225,3331440,"brickwork restoration per plans herewith. no change in use, egress or occupancy under this application.",Standard Plan Examination,b9859cd5-3509-ed11-a3ed-005056b0fc6c,6,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303984d4e3f4,,FILTERED,,NO ZONING DOCUMENTS,2022-07-21,Supporting Documents,Fee Exempt Supporting Document - DOF ACRIS report or BIB letter,Accepted
B00738255-P1,Approved,08/01/2022 12:00:00 AM,5995,SHORE PARKWAY,Brooklyn,8329,225,3331440,"brickwork restoration per plans herewith. no change in use, egress or occupancy under this application.",Standard Plan Examination,b9859cd5-3509-ed11-a3ed-005056b0fc6c,6,DEP ACP-5: Asbestos Assessment Report,DEP ACP-5: Asbestos Assessment Report,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303984f7d728,,FILTERED,,NO ZONING DOCUMENTS,2022-07-21,Supporting Documents,DEP ACP-5: Asbestos Assessment Report,Accepted
M01110102-I1,Permit Entire,09/30/2024 12:00:00 AM,224,EAST   47 STREET,Manhattan,1320,34,1037605,"REINFORCEMENT OF EXISTING STRUCTURAL BEAMS ON 2ND FLOOR AND REINFORCEMENT OF SUB-CELLAR MECHANICAL ROOM COLUMNS . NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",Professional Certification,cdf79e9d-7a70-ef11-a4a1-005056b09d5b,22,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,Fee Exempt Supporting Document - DOF Property Tax Assessment Roll,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986bba84e,,FILTERED,,NO ZONING DOCUMENTS,2024-09-11,Supporting Documents,Fee Exempt Supporting Document - DOF ACRIS report or BIB letter,Accepted
M01110102-I1,Permit Entire,09/30/2024 12:00:00 AM,224,EAST   47 STREET,Manhattan,1320,34,1037605,"REINFORCEMENT OF EXISTING STRUCTURAL BEAMS ON 2ND FLOOR AND REINFORCEMENT OF SUB-CELLAR MECHANICAL ROOM COLUMNS . NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",Professional Certification,cdf79e9d-7a70-ef11-a4a1-005056b09d5b,22,DEP ACP-5: Asbestos Assessment Report,DEP ACP-5: Asbestos Assessment Report,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986f69828,,FILTERED,,NO ZONING DOCUMENTS,2024-09-11,Supporting Documents,DEP ACP-5: Asbestos Assessment Report,Accepted
M01110102-I1,Permit Entire,09/30/2024 12:00:00 AM,224,EAST   47 STREET,Manhattan,1320,34,1037605,"REINFORCEMENT OF EXISTING STRUCTURAL BEAMS ON 2ND FLOOR AND REINFORCEMENT OF SUB-CELLAR MECHANICAL ROOM COLUMNS . NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",Professional Certification,cdf79e9d-7a70-ef11-a4a1-005056b09d5b,22,Other Documents  - AI1 - M01110102-P1,Other Documents  - AI1 - M01110102-P1,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986f69827,,FILTERED,,NO ZONING DOCUMENTS,2025-01-16,Supporting Documents,Other Documents - Prior to Approval,Accepted
X01130339-P5,Approved,08/18/2025 12:00:00 AM,2055,MAPES AVENUE,Bronx,3109,1,2012957,Media Center-Art/Visual/Music/Recording/Hearing/Technology/Sound Bearing Partition/Gypsum Suspended Ceiling/New Entry Door/2X4 Lay-In Ceiling Tile/ New Furniture/New Carpet w Sound Proofing/ All new technology/Partial Roof work exhaust/intake penetration.,Standard Plan Examination,00c703ac-097a-f011-a486-005056b04135,6,Design Commission Approval City Owned (Exterior Work),Design Commission Approval City Owned (Exterior Work),http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986cdd4bf,,FILTERED,,NO ZONING DOCUMENTS,2025-08-15,Supporting Documents,Design Commission Approval City Owned (Exterior Work),Accepted
